year_of_balance,actual_revised_estimated,category,item,amount_in_million,percent_of_GDP
1997,Actual,Balance,Basic Balance,5852,0.039
1998,Actual,Balance,Basic Balance,925,0.007
1999,Actual,Balance,Basic Balance,5185,0.034
2000,Actual,Balance,Basic Balance,2496,0.015
2001,Actual,Balance,Basic Balance,-2273,-0.014
2002,Actual,Balance,Basic Balance,-2885,-0.017
2003,Actual,Balance,Basic Balance,-3788,-0.022
2004,Actual,Balance,Basic Balance,-2448,-0.012
2005,Actual,Balance,Basic Balance,-1041,-0.005
2006,Actual,Balance,Basic Balance,-1238,-0.005
2007,Actual,Balance,Basic Balance,6051,0.022
2008,Actual,Balance,Basic Balance,-1094,-0.004
2009,Actual,Balance,Basic Balance,-6416,-0.022
2010,Actual,Balance,Basic Balance,-782,-0.002
2011,Actual,Balance,Basic Balance,1605,0.005
2012,Actual,Balance,Basic Balance,5353,0.014
2013,Actual,Balance,Basic Balance,2303,0.006
2014,Actual,Balance,Basic Balance,334,0.001
2015,Actual,Balance,Basic Balance,-6993,-0.016
2016,Actual,Balance,Basic Balance,-4853,-0.011
2017,Actual,Balance,Basic Balance,147,0
2018,Actual,Balance,Basic Balance,-5774,-0.011
2019,Actual,Balance,Basic Balance,-2625,-0.005
2020,Actual,Balance,Basic Balance,-52491,-0.107
2021,Actual,Balance,Basic Balance,-19138,-0.031
2022,Actual,Balance,Basic Balance,-16532,-0.024
2023,Actual,Balance,Basic Balance,-4624,-0.007
2024,Revised,Balance,Basic Balance,642,0.001
2025,Estimated,Balance,Basic Balance,-4791,-0.006
1997,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
1998,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
1999,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2000,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2001,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2002,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2003,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2004,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2005,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2006,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2007,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2008,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2009,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2010,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2011,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
2012,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,0,0
